context_id,role,pred,gold
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-裁员人数,['900余人'],['900余人']
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-时间,['5月份'],['5月份']
cba11b5059495e635b4f95e7484b2684,组织关系-裁员-裁员方,[],[]
b90900665eee74f658eed125a321ee06,组织关系-裁员-时间,[],['前两天']
b90900665eee74f658eed125a321ee06,组织关系-裁员-裁员方,['被称为[UNK]仅次于苹果的软件服务商[UNK]的oracle（甲骨文）公司'],['被称为[UNK]仅次于苹果的软件服务商[UNK]的oracle（甲骨文）公司']
b90900665eee74f658eed125a321ee06,组织关系-裁员-裁员人数,[],[]
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-裁员方,[],"['中国it企业', '500强的甲骨文']"
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-时间,[],[]
c970d67bb8d3e57db77c4dbbdfbe9769,组织关系-裁员-裁员人数,[],[]
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-裁员方,['猛龙'],['猛龙']
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-加盟者,['前锋萨加巴-科纳特'],['前锋萨加巴-科纳特']
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-所加盟组织,['猛龙'],['猛龙']
8a440ade8a8bac469e0357cc519ec9c0,组织关系-加盟-时间,[],[]
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-解雇方,['猛龙'],[]
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-被解雇人员,['前锋萨加巴-科纳特'],[]
8a440ade8a8bac469e0357cc519ec9c0,组织关系-解雇-时间,[],[]
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-时间,[],[]
8a440ade8a8bac469e0357cc519ec9c0,组织关系-裁员-裁员人数,[],[]
312d8e8b74cf4d1ac548143b27c949a3,组织关系-裁员-裁员方,['著名的国际网约车公司uber'],['著名的国际网约车公司uber']
312d8e8b74cf4d1ac548143b27c949a3,组织关系-裁员-裁员人数,['400人'],['约为400人']
312d8e8b74cf4d1ac548143b27c949a3,组织关系-裁员-时间,[],[]
bc436949df35727c97d96c2fee166113,组织关系-裁员-时间,[],['6月7日']
bc436949df35727c97d96c2fee166113,组织关系-裁员-裁员方,['ibm'],['ibm']
bc436949df35727c97d96c2fee166113,组织关系-裁员-裁员人数,"['超过1000人', '一千多人']",['1700名员工']
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-裁员方,['甲骨文中国区'],['甲骨文中国区']
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-收购方,['ibm'],['ibm']
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-出售方,['红帽公司'],['红帽公司']
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-时间,[],[]
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-出售价格,[],[]
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-时间,[],[]
4acb307de2f61a9989c7616af6ff9f10,组织关系-裁员-裁员人数,[],[]
4acb307de2f61a9989c7616af6ff9f10,财经/交易-出售/收购-交易物,[],[]
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-时间,['近期'],['近期']
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-裁员方,['蔚来'],['蔚来']
7c1f296c17f91ed0bf6fb0620367b0fa,组织关系-裁员-裁员人数,['70人'],['70人']
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-裁员方,['网易'],['网易']
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-时间,[],[]
4a21dfc53d3874d55d69860ff1e1b17c,组织关系-裁员-裁员人数,[],[]
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-裁员方,['油服巨头哈里伯顿'],['油服巨头哈里伯顿']
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-裁员人数,['650人'],['650人']
f2d936214dc2cb1b873a75ee29a30ec9,组织关系-裁员-时间,[],[]
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-裁员方,['魅族'],['魅族']
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-退出方,[],['爱讲真话的洪汉生']
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-原所属组织,[],['钉钉']
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-退出-时间,[],[]
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-时间,['6月份'],[]
c288ea56951e058c7d5d26b3d7b6a55f,组织关系-裁员-裁员人数,['千余人'],[]
28a837e42b88ad1242927f16be30cb37,组织关系-裁员-裁员方,['uber'],['uber']
28a837e42b88ad1242927f16be30cb37,组织关系-裁员-时间,[],[]
28a837e42b88ad1242927f16be30cb37,组织关系-裁员-裁员人数,[],[]
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-裁员方,['富国银行'],['富国银行']
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-裁员人数,['200多名'],['200多名']
62bcd2246e06ee9de6129403f755d24d,组织关系-裁员-时间,[],[]
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-裁员方,['we##work'],['we##work']
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-裁员人数,['至少2000人'],['2000人']
2a7cab1215b160f20319823e1f8a69cd,组织关系-裁员-时间,[],[]
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-裁员方,['uber'],['uber']
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-裁员人数,['435人'],['435人']
22e484b9cdbd618bdaefd83c555f88a1,组织关系-裁员-时间,[],[]
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-时间,['7月13日晚上20点20分左右'],['7月13日晚上20点20分左右']
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-坍塌主体,['麒麟区交通路美佳华商场一楼屈臣氏商店后部约100平方米楼层'],['麒麟区交通路美佳华商场一楼屈臣氏商店后部约100平方米楼层']
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-受伤人数,['3人'],['3人']
238d0957f809dc480afeeecaa45d59c5,灾害/意外-坍/垮塌-死亡人数,[],[]
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-坍塌主体,['贵阳项目挡墙'],['贵阳项目挡墙']
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-死亡人数,['8人'],['8人']
0568cceb0ab565d1d5610d79ac2d2da8,人生-死亡-地点,[],['贵阳']
0568cceb0ab565d1d5610d79ac2d2da8,人生-死亡-时间,[],[]
0568cceb0ab565d1d5610d79ac2d2da8,人生-死亡-死者年龄,[],[]
0568cceb0ab565d1d5610d79ac2d2da8,人生-死亡-死者,[],[]
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-受伤人数,[],[]
0568cceb0ab565d1d5610d79ac2d2da8,灾害/意外-坍/垮塌-时间,[],[]
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-坍塌主体,['贵阳项目'],['冲刺千亿的美的置业贵阳项目']
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-死亡人数,['8人'],['8人']
ea027504736dd02c9d075190b0479904,人生-死亡-时间,[],[]
ea027504736dd02c9d075190b0479904,人生-死亡-死者年龄,[],[]
ea027504736dd02c9d075190b0479904,人生-死亡-死者,[],[]
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-受伤人数,[],[]
ea027504736dd02c9d075190b0479904,灾害/意外-坍/垮塌-时间,[],[]
ea027504736dd02c9d075190b0479904,人生-死亡-地点,['贵阳项目'],[]
0198620fafb91ba57c64f810a2fdce60,灾害/意外-坍/垮塌-坍塌主体,['青岛地铁施工段'],['青岛地铁施工段']
0198620fafb91ba57c64f810a2fdce60,灾害/意外-坍/垮塌-死亡人数,['3人'],['3人']
0198620fafb91ba57c64f810a2fdce60,人生-死亡-地点,['青岛地铁施工段'],['青岛']
0198620fafb91ba57c64f810a2fdce60,人生-失联-地点,['青岛地铁施工段'],['青岛']
0198620fafb91ba57c64f810a2fdce60,人生-死亡-时间,[],[]
0198620fafb91ba57c64f810a2fdce60,人生-死亡-死者年龄,[],[]
0198620fafb91ba57c64f810a2fdce60,人生-死亡-死者,[],[]
0198620fafb91ba57c64f810a2fdce60,灾害/意外-坍/垮塌-受伤人数,[],[]
0198620fafb91ba57c64f810a2fdce60,人生-失联-时间,[],[]
0198620fafb91ba57c64f810a2fdce60,人生-失联-失联者,[],[]
0198620fafb91ba57c64f810a2fdce60,灾害/意外-坍/垮塌-时间,[],[]
046a86a7769f5a361eec197fa8404a49,灾害/意外-坍/垮塌-坍塌主体,['外墙'],['外墙']
046a86a7769f5a361eec197fa8404a49,人生-死亡-时间,[],[]
046a86a7769f5a361eec197fa8404a49,人生-死亡-死者年龄,['26岁'],[]
046a86a7769f5a361eec197fa8404a49,人生-死亡-死者,['26岁小伙'],[]
046a86a7769f5a361eec197fa8404a49,灾害/意外-坍/垮塌-受伤人数,[],[]
046a86a7769f5a361eec197fa8404a49,灾害/意外-坍/垮塌-时间,[],[]
046a86a7769f5a361eec197fa8404a49,灾害/意外-坍/垮塌-死亡人数,[],[]
046a86a7769f5a361eec197fa8404a49,人生-死亡-地点,[],[]
6d5b61216556ea335377a60923cf3ea5,灾害/意外-坍/垮塌-时间,"['7月4日', '5月27日']","['7月4日', '5月27日']"
6d5b61216556ea335377a60923cf3ea5,灾害/意外-坍/垮塌-坍塌主体,['由中铁十九局承建的青岛地铁1号线胜利桥站施工围挡处'],"['青岛地铁1号线胜利桥站施工围挡处', '地铁4号线沙子口静沙区间施工段']"
6d5b61216556ea335377a60923cf3ea5,灾害/意外-坍/垮塌-死亡人数,['一名'],"['一名', '5名']"
6d5b61216556ea335377a60923cf3ea5,人生-死亡-时间,[],"['7月4日', '5月27日']"
